Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Даценко,Богуслав,Глібович,Чоловіча,1999-06-11,Електромонтажник,хутір Кропивницький,"шосе Пересипська 6-та, буд. 92, Немирів, 56130",098 398-08-16,orkhyp68@example.org
Шевченко,Герман,Аврелійович,Чоловіча,1995-01-26,Філолог,селище Борислав,"узвіз Басейний 1-й, буд. 661 кв. 697, Глобине, 62237",+380 (35) 267-26-12,opelekh@example.com
Свириденко,Георгій,Георгійович,Чоловіча,2008-01-23,Бібліограф,місто Горлівка,"провулок Балтська дорога, буд. 42 кв. 794, Дубляни, 66914",+380 51 633-24-11,cprytula@example.com
Абрагамовський,Гліб,Артемович,Чоловіча,1941-09-09,Ді-джей,хутір Амвросіївка,"площа Республіканська, буд. 010 кв. 40, Радивилів, 70886",383 57 44,riurchenko@example.com
Лаба,Розалія,Вадимівна,Жіноча,1963-04-12,Дипломат,село Українськ,"вулиця Західний 1-й, буд. 78 кв. 086, Зугрес, 81932",+380 (91) 478-31-15,kostiantynokhrymovych@example.com
Корбут,Варвара,Гордіївна,Жіноча,1958-04-20,Паблік рилейшнз,хутір Горохів,"узвіз Студентський 1-й, буд. 88, Луганськ, 89782",008 865-36-25,tkachvarfolomii@example.org
Гаврилець,Вікторія,Олегівна,Жіноча,1974-04-04,Скульптор,селище Нова Одеса,"вулиця Литовська, буд. 38 кв. 294, Жданівка, 68210",554 53 98,zmasliak@example.net
Пелех,Зиновій,Пантелеймонович,Чоловіча,1974-08-01,Диригент,селище Калуш,"узвіз Учнівська, буд. 1, Білогірськ, 24370",319 50 07,nazar08@example.org
Харченко,Клавдія,Остапівна,Жіноча,1996-01-24,Диригент,місто Новоселиця,"набережна Марка Крейна, буд. 1 кв. 60, Бердянськ, 81051",059 343-51-22,pustovitmykhailyna@example.net
Артюх,Юстина,Альбертівна,Жіноча,1992-02-24,Астрофізик,місто Мирноград,"узвіз Навігаційний, буд. 53, П'ятихатки, 07201",024 932-79-15,ntsisyk@example.net
Рябець,Єва,Артемівна,Жіноча,1947-10-04,Гінеколог,місто Ковель,"площа Львівська, буд. 31, Волноваха, 46493",389-89-63,shtepaolena@example.com
Верхола,Валерій,Аркадійович,Чоловіча,1975-12-27,Державний службовець,селище Глиняни,"узвіз Ігоря Бедзая, буд. 0 кв. 69, Ірпінь, 86251",+380 64 574-80-38,hordiikopytko@example.net
Перебийніс,Онисим,Микитович,Чоловіча,1964-11-20,Епідеміолог,селище Миколаїв,"площа Шкільний аеродром, буд. 4, Підгородне, 19896",+380 71 564-50-27,edyta71@example.com
Михайлюк,Степан,Гордійович,Чоловіча,1968-05-07,Фрілансер,хутір Курахове,"парк Олешківська, буд. 9 кв. 71, Соснівка, 24120",+380 76 527-06-35,arsen70@example.net
Рубець,Дмитро,Юстимович,Чоловіча,1982-09-01,Біолог,хутір Ялта,"шосе Архітектурна, буд. 48 кв. 4, Вишгород, 61514",+380 10 321-68-28,baidateodor@example.com
Дурдинець,Зиновій,Панасович,Чоловіча,1992-11-29,Клоун,селище Новий Калинів,"шосе Шкіперська, буд. 309, Хмельницький, 53940",+380 70 544-93-72,wdutka@example.com
Худяк,Володимира,Григоріївна,Жіноча,1964-05-17,Державний службовець,селище Рахів,"сквер 11-та Лінія Марії Демченко, буд. 030, Марганець, 37257",057-67-81,drozdenkooryna@example.org
Деряжна,Лариса,Спасівна,Жіноча,1965-07-25,Електрослюсар,село Богуслав,"парк Поштовий, буд. 22 кв. 938, Валки, 85604",857-93-50,solomiiacherednyk@example.org
Вакуленко,Ірена,Петрівна,Жіноча,2002-11-11,Ветеринар,село Дрогобич,"провулок Левадна, буд. 041, Красногорівка, 55650",+380 (40) 036-72-75,yartymovych@example.org
Вишиваний,Левко,Григорійович,Чоловіча,2007-02-07,Піаніст,селище Довжанськ,"узвіз Житомирський 3-й, буд. 38, Рахів, 26361",+380 (48) 173-86-74,frankoheorhii@example.com
Коваленко,Ліза,Миронівна,Жіноча,1978-02-17,Геолог,село Білопілля,"провулок Листяна, буд. 9, Бар, 93747",+380 (08) 879-93-44,sheremethryhorii@example.org
Остапчук,Орхип,Олександрович,Чоловіча,1986-02-01,Редактор,село Чоп,"шосе Героїв оборони Одеси, буд. 888, Рахів, 40336",+380 (34) 995-53-62,mykhailyna51@example.net
Архипенко,Демʼян,Йосипович,Чоловіча,1991-04-14,Дипломат,село Радомишль,"площа Чехівського, буд. 4 кв. 745, Чистякове, 46146",+380 06 340-25-25,danna25@example.net
Юрчишина,Камілла,Лукʼянівна,Жіноча,1963-05-15,Композитор,село Полонне,"сквер Учнівська, буд. 18, Люботин, 93741",+380 83 089 96 37,parmeniurchyshyna@example.com
Твердохліб,Петро,Давидович,Чоловіча,1940-09-14,Водій,селище Овруч,"проспект Ткачова, буд. 4, Заліщики, 52952",636 99 87,arkadii18@example.com
Дутка,Владислав,Богданович,Чоловіча,1991-10-14,Палеонтолог,місто Зміїв,"набережна Цебриківська, буд. 651 кв. 5, Болехів, 54750",+380 28 596-36-51,petro21@example.com
Хмара,Геннадій,Трохимович,Чоловіча,1986-12-09,Правник,хутір Ялта,"шосе Виноградна 2-га, буд. 093, Покровськ, 77204",+380 (73) 594-43-39,zhaivoronolena@example.com
Наливайко,Антон,Георгійович,Чоловіча,1986-07-05,Хореограф,хутір Коростишів,"шосе Буджацька, буд. 27 кв. 8, Кремінна, 44471",+380 (82) 744-35-42,vitrukavrelii@example.org
Ковалюк,Емілія,Азарівна,Жіноча,2007-09-26,Слідчий,місто Сколе,"парк Леопольда Ященка, буд. 877 кв. 162, Броди, 77955",052 904 38 24,andriiovychtereza@example.com
Чарниш,Лілія,Максимівна,Жіноча,1959-04-14,Живописець,селище Донецьк,"вулиця Матроський узвіз, буд. 148, Зборів, 97924",+380 32 667-57-73,panasvdovychenko@example.net
Остапчук,Орися,Гаврилівна,Жіноча,1941-11-09,Дипломат,село Антрацит,"вулиця Садова 5-та, буд. 508 кв. 242, Новгород-Сіверський, 89457",040 835 36 66,tovstukhaarsen@example.net
Бабич,Клавдія,Олегівна,Жіноча,2007-04-14,Машиніст,хутір Остер,"площа Кінна, буд. 913, Курахове, 33615",+380 11 634 43 40,havrylotymchuk@example.org
Дробаха,Болеслав,Петрович,Чоловіча,1960-02-26,Ювелір,хутір Багачеве,"провулок Вапняне селище, буд. 09, Зугрес, 54976",037 525-54-22,mkylymnyk@example.net
Дробʼязко,Богуслава,Лукʼянівна,Жіноча,1980-04-17,Сценарист,хутір Березне,"узвіз Зелений, буд. 7 кв. 93, Саки, 67030",+380 (44) 228-94-91,ievhen21@example.net
Фастенко,Гаврило,Єлисейович,Чоловіча,1975-01-25,Секретар,хутір Городище,"набережна Дорбуду, буд. 363 кв. 041, Андрушівка, 19765",+380 19 942-45-26,dubenkomykolai@example.net
Шинкаренко,Дмитро,Тарасович,Чоловіча,1990-03-22,Агроном,місто Ровеньки,"узвіз Проектований 3-й, буд. 7 кв. 811, Підгайці, 58885",+380 42 694 01 92,chekaliuksviatoslav@example.org
Вергун,Анастасія,Адамівна,Жіноча,1976-06-12,Модельєр,селище Дніпро,"парк Артура Савельєва, буд. 6 кв. 5, Тальне, 12642",+380 40 006-39-10,shakhraistanislav@example.net
Деряжний,Леопольд,Алевтинович,Чоловіча,1968-04-04,Локсмайстер,хутір Горішні Плавні,"проспект Кавунова, буд. 5, Буринь, 17523",+380 08 719-18-61,mdankiv@example.net
Данильчук,Орхип,Давидович,Чоловіча,1939-08-09,Патологоанатом,хутір Ходорів,"шосе Дюківська, буд. 62 кв. 16, Старий Самбір, 64309",052 689-40-30,tzarudna@example.org
Єременко,Наталія,Вадимівна,Жіноча,1946-02-07,Золотар,хутір Великі Мости,"парк Цукровий, буд. 5, Бучач, 81159",+380 77 635-72-76,arkhymovychliliia@example.net
Данчук,Данило,Хомович,Чоловіча,1945-09-25,Соціолог,місто Миколаївка,"площа Складська, буд. 479 кв. 81, Чигирин, 20627",059 731-37-55,romanchukviacheslav@example.com
Павличенко,Володимир,Валентинович,Чоловіча,1968-07-15,Бізнесмен,село Балаклія,"шосе Аптекарський, буд. 53, Ржищів, 97994",083 495 51 81,haidaburaiustym@example.net
Радченко,Ірина,Костянтинівна,Жіноча,1982-04-02,Клоун,село Моршин,"узвіз Василя Кандинського 5-й, буд. 099 кв. 478, Помічна, 21766",045 844-06-91,ievtushenkospas@example.net
Смик,Василина,Тарасівна,Жіноча,1958-07-03,Доцент,хутір Сміла,"сквер Князівський, буд. 31, Антрацит, 73886",+380 23 612 22 58,kchalenko@example.com
Шухевич,Орест,Соломонович,Чоловіча,1972-07-28,Педагог,хутір Бахчисарай,"площа 13-та ст. Великого Фонтану пляж, буд. 2 кв. 038, Бобринець, 95575",379-55-64,kyrylosych@example.com
Абрамчук,Степан,Тарасович,Чоловіча,1981-12-14,Складальник,селище Вилкове,"узвіз Технічний, буд. 072, Львів, 16699",043 890-73-36,sofiia41@example.org
Тесленко,Ростислав,Миронович,Чоловіча,1976-04-26,Електрик,село Старокостянтинів,"вулиця Новиков міст, буд. 2 кв. 49, Дергачі, 47909",+380 (40) 592-79-02,zlatoslava29@example.org
Данько,Надія,Кирилівна,Жіноча,1951-12-29,Мірошник,село Севастополь,"вулиця Овідіопольська дорога, буд. 407 кв. 881, Селидове, 76178",+380 69 145-49-13,ubaran@example.net
Цюпа,Дан,Зорянович,Чоловіча,1944-12-14,Юрист,хутір Ровеньки,"провулок 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 1 кв. 33, Харків, 17684",+380 38 220-74-02,artem12@example.org
Атаманюк,Борис,Варфоломійович,Чоловіча,1972-10-30,Графік,хутір Белз,"провулок Олександра Білостінного, буд. 857 кв. 0, Дніпро, 58221",076 257-09-66,tsybulenkoiaryna@example.net
Онуфрієнко,Остап,Демидович,Чоловіча,1986-01-13,Живописець,село Підгородне,"проспект Лузанівський 1-й, буд. 50 кв. 4, Селидове, 05413",099 121-63-05,cnalyvaiko@example.net
Влох,Кирило,Вікторович,Чоловіча,1962-12-08,Менеджер,хутір Андрушівка,"шосе Трудовий, буд. 0 кв. 032, Керч, 82604",+380 95 512-22-46,lokhrimenko@example.org
Корсун,Марія,Болеславівна,Жіноча,1987-02-24,Математик,селище Теребовля,"вулиця Бокаріуса, буд. 571 кв. 9, Шумськ, 36251",+380 (18) 439-68-19,azar67@example.com
Сіробаба,Вікторія,Ярославівна,Жіноча,1985-12-21,Юрист,хутір Кодима,"узвіз Косовський, буд. 1 кв. 680, Тисмениця, 65876",+380 22 549-48-08,semenkyrylenko@example.net
Шведченко,Мілена,Геннадіївна,Жіноча,1940-09-15,Біолог,село Сміла,"вулиця Сумська, буд. 058, Ланівці, 80543",+380 21 940 71 84,milena22@example.org
Атаманюк,Ярина,Єлисеївна,Жіноча,1940-09-08,Агроном,місто Дунаївці,"вулиця Богуна, буд. 7, Підгородне, 94583",+380 43 667 90 23,lukiankhudiak@example.net
Христич,Вадим,Ярославович,Чоловіча,1949-08-29,Громадський діяч,село Берегове,"набережна Вапняний 1-й, буд. 4 кв. 06, Лисичанськ, 69206",+380 (34) 421-03-42,okhrystych@example.com
Бебешко,Теодор,Макарович,Чоловіча,1955-10-02,Зоолог,селище Новодністровськ,"вулиця Керченський 2-й, буд. 1 кв. 36, Хрестівка, 93666",067 439-51-32,shcherbakazar@example.net
Комар,Семен,Миколайович,Чоловіча,1995-08-17,Шериф,місто Сокаль,"шосе Ждахи, буд. 54 кв. 571, Роздільна, 72296",+380 18 936-49-19,hlibpavlychenko@example.org
Валенко,Христина,Феофанівна,Жіноча,1984-12-23,Лікар,село Сніжне,"шосе Долинська, буд. 38 кв. 853, Лутугине, 72619",+380 (62) 195-44-52,okhrim67@example.org
Мамчур,Костянтин,Андрійович,Чоловіча,1940-02-14,Агроном,хутір Лебедин,"узвіз Каховський, буд. 10 кв. 249, Монастирище, 48076",+380 (00) 340-61-84,gtereshchuk@example.com
Шелест,Мілена,Давидівна,Жіноча,2008-03-13,Сантехнік,селище Джанкой,"площа Андросовський, буд. 631, Березне, 73297",+380 (24) 188-77-08,onysym55@example.net
Гаєвська,Ганна,Пилипівна,Жіноча,1940-01-15,Машиніст,селище Старокостянтинів,"вулиця Скляний 2-й, буд. 70, Золочів, 25425",941 89 74,rkozachenko@example.org
Дубина,Богуслава,Микитівна,Жіноча,1946-02-11,Дантист,хутір Корюківка,"парк Краснова, буд. 33, Часів Яр, 31160",056 109 48 56,pvakhnii@example.com
Христенко,Миколай,Володимирович,Чоловіча,1949-08-19,Художник,місто Роздільна,"набережна Балтська дорога, буд. 3, Валки, 10264",600 74 76,orest47@example.com
Андрійович,Геннадій,Устимович,Чоловіча,1990-04-22,Фрілансер,місто Ізюм,"узвіз Василя Данилевича, буд. 004 кв. 51, Погребище, 74577",+380 12 134 61 17,izhakolha@example.com
Ващук,Яків,Яковович,Чоловіча,1968-06-05,Геолог,село Сколе,"парк Сливова, буд. 635 кв. 6, Монастириська, 73274",777-85-81,anzhelaiakovenko@example.net
Товстуха,Едита,Данилівна,Жіноча,2006-05-16,Геофізик,селище Косів,"вулиця Пересипський узвіз, буд. 80, Кобеляки, 85726",+380 (69) 427-76-06,shchorspetro@example.org
Андрощук,Стефан,Бориславович,Чоловіча,2006-11-06,Фермер,місто Залізне,"сквер Географічний, буд. 366 кв. 26, Белз, 37084",+380 69 698 06 72,lukianzabashta@example.net
Юрчишин,Тимофій,Зиновійович,Чоловіча,1973-11-05,Актор,селище Вилкове,"площа Спаський, буд. 468 кв. 34, Покровськ, 42858",+380 23 125-48-18,sieshchenko@example.org
Яремчук,Юстина,Арсенівна,Жіноча,1993-11-24,Кінорежисер,хутір Петрово-Красносілля,"шосе Чубаївська, буд. 4 кв. 50, Золоте, 70313",+380 (03) 875-57-41,tereza37@example.org
Засенко,Азар,Миколайович,Чоловіча,1947-03-28,Будник,місто Апостолове,"проспект Квітнева, буд. 7, Моспине, 07263",045 768 87 07,prokhir74@example.org
Литвин,Клавдія,Вадимівна,Жіноча,1970-10-15,Патологоанатом,селище Южне,"провулок Журавлина, буд. 5 кв. 9, Волочиськ, 95256",057 221-23-85,perepelytsiafrants@example.net
Даниленко,Кирило,Пантелеймонович,Чоловіча,1939-11-29,Фольклорист,хутір Олевськ,"парк Депутатський, буд. 8, Кілія, 17972",+380 21 429-67-28,spasvlasiuk@example.com
Пустовіт,Владислав,Костянтинович,Чоловіча,1969-12-31,Різноробочий,селище Виноградів,"шосе Хвиляста, буд. 08 кв. 92, Довжанськ, 59367",791 18 89,shelestveniiamyn@example.org
Гаврюшенко,Василь,Ростиславович,Чоловіча,1995-03-09,Громадський діяч,селище Кипуче,"набережна Скрипковий, буд. 22 кв. 0, Мена, 42248",+380 27 726-20-67,orestilienko@example.org
Фоменко,Варвара,Прохорівна,Жіноча,1975-05-22,Клавішник,місто Костянтинівка,"сквер Романтичний, буд. 8, Тальне, 22065",062 303-76-81,makarenkozlatoslava@example.net
Вобла,Едита,Олегівна,Жіноча,1996-05-01,Актор,хутір Одеса,"вулиця Курортний, буд. 99, Федорівка, 51629",053 819 68 41,myron36@example.net
Вакарчук,Лариса,Леонтіївна,Жіноча,1940-07-24,Каскадер,місто Родинське,"провулок Маловського, буд. 66 кв. 225, Чортків, 58239",013 412-33-10,veresvladyslav@example.org
Назаренко,Пилип,Дмитрович,Чоловіча,1993-04-21,Геофізик,хутір Гайсин,"узвіз Південна, буд. 17 кв. 981, Решетилівка, 56232",+380 05 401-67-46,frantsmamchur@example.com
Сімашкевич,Орест,Ааронович,Чоловіча,1939-05-15,Електромонтажник,місто Новий Розділ,"площа Маршрутна, буд. 60, Сорокине, 85739",+380 05 548-33-79,zkozak@example.com
Ґерета,Віталій,Несторович,Чоловіча,1993-03-16,Доцент,місто Сніжне,"сквер Героїв Крут, буд. 85, Збараж, 04234",+380 42 578-54-27,makarshvachka@example.com
Павличенко,Онисим,Мирославович,Чоловіча,1944-08-06,Клавішник,село Слов'янськ,"набережна Тіниста, буд. 2 кв. 229, Знам'янка, 17871",062-95-79,varvara39@example.com
Шутько,Богуслава,Альбертівна,Жіноча,2005-06-24,Стропальник,хутір Заліщики,"проспект Військовий узвіз, буд. 845 кв. 957, Канів, 79753",+380 35 426 56 99,ptovstukha@example.com
Атрощенко,Пріска,Августинівна,Жіноча,1943-05-28,Сценарист,селище Таврійськ,"узвіз Тупиковий, буд. 8 кв. 507, Пологи, 93886",012 410-73-08,yshamrai@example.com
Бабариченко,Валерій,Дмитрович,Чоловіча,1973-09-29,Програміст,селище Вінниця,"проспект Заводська, буд. 2, Ясинувата, 63707",947 49 02,tlazarenko@example.org
Лаба,Лілія,Опанасівна,Жіноча,1984-11-04,Електрик,селище Хуст,"вулиця Південно-Санаторний, буд. 99, Снятин, 09533",033 399 85 43,iusyk@example.org
Бабʼюк,Амвросій,Пантелеймонович,Чоловіча,1943-04-04,Письменник,село Кілія,"площа Колонтаївська, буд. 70, Мукачево, 20345",019 116-38-48,cbevz@example.net
Якименко,Юстим,Опанасович,Чоловіча,1998-11-04,Кухар,село Славута,"сквер Колекційна, буд. 91 кв. 67, Кальміуське, 40119",+380 (47) 633-46-76,glukash@example.net
Усик,Пилип,Соломонович,Чоловіча,1947-01-06,Різноробочий,хутір Володимир-Волинський,"сквер Дмитріївська, буд. 410, Керч, 48463",020 726 48 33,wlytvynenko@example.com
Балабан,Болеслав,Соломонович,Чоловіча,1940-04-03,Гицель,селище Березне,"площа Нечипуренка, буд. 6 кв. 845, Чернігів, 78167",+380 (28) 374-57-93,fedir11@example.com
Єременко,Віолетта,Демʼянівна,Жіноча,2001-08-26,М'ясник,село Чорноморськ,"проспект Миколи Кравченка, буд. 9 кв. 30, Привілля, 23975",+380 84 482 36 06,zvyshniak@example.net
Бабенко,Дарина,Соломонівна,Жіноча,1953-06-24,Будник,селище Корюківка,"шосе Регенсбург, буд. 820 кв. 881, Молочанськ, 45189",712-20-91,vatamaniukhanna@example.org
Іващенко,Любов,Георгіївна,Жіноча,1966-02-14,М'ясник,хутір Решетилівка,"сквер Пляжна, буд. 1 кв. 874, Чорноморськ, 47581",+380 61 510-19-31,larysa34@example.com
Бабійчук,Алла,Олександрівна,Жіноча,2002-12-05,Науковець,хутір Кременець,"провулок Академіка Богатського, буд. 336 кв. 8, Волочиськ, 46270",644-22-69,roksolana39@example.com
Євдокименко,Богданна,Борисівна,Жіноча,2003-09-28,Краєзнавець,селище Краматорськ,"провулок Молоді, буд. 106, Копичинці, 33268",+380 08 070 59 39,kozakihnat@example.com
Демʼянчук,Сніжана,Охрімівна,Жіноча,1977-12-02,Геолог,селище Сквира,"провулок Томатна, буд. 2 кв. 5, Біла Церква, 32290",+380 (59) 550-51-61,yiaremenko@example.org
Дергач,Володимира,Захарівна,Жіноча,1971-02-25,Літературознавець,село Могилів-Подільський,"шосе Жоліо-Кюрі, буд. 95, Підгайці, 45739",+380 70 391-72-35,violetta64@example.com
Абраменко,Ліза,Климентівна,Жіноча,1995-07-14,Редактор,селище Галич,"узвіз Артура Савельєва, буд. 542 кв. 3, Сорокине, 70142",+380 67 666-68-26,atamanchukanita@example.org
Ющенко,Ярема,Миколайович,Чоловіча,1963-05-22,Кухар,село Любомль,"провулок Михайла Слабченка, буд. 845, Болград, 81571",268-74-09,avhustyn96@example.net
Дубенко,Соломон,Алевтинович,Чоловіча,1962-09-16,Клоун,місто Підгайці,"площа Колекційна, буд. 29 кв. 314, Запоріжжя, 43090",+380 63 233-02-16,shapovaltrokhym@example.org
Тимчук,Опанас,Ігорович,Чоловіча,1962-12-27,Економіст,село Благовіщенське,"провулок Грецький, буд. 6, Алмазна, 33846",027 942-36-49,olha98@example.com
Іщенко,Валентин,Єфремович,Чоловіча,2003-10-29,Гірник,хутір Алчевськ,"площа Шилова, буд. 8 кв. 8, Деражня, 27653",560 36 66,hennadiiovcharenko@example.com
Бевз,Роман,Орестович,Чоловіча,1949-03-06,Бібліограф,селище Тульчин,"узвіз Різдвяна, буд. 34 кв. 706, Мерефа, 87109",035 727 50 37,leon20@example.net
Вдовиченко,Едуард,Яковович,Чоловіча,1994-07-29,Музикознавець,хутір Шумськ,"парк Люстдорфська дорога, буд. 538 кв. 1, Севастополь, 35933",+380 94 482 55 76,nestoraronets@example.net
Юрченко,Одарка,Ігорівна,Жіноча,1986-10-03,Композитор,село Угнів,"узвіз Героїв Зміїного, буд. 297 кв. 282, Брянка, 67205",+380 12 087-47-68,kdubas@example.net
Яценюк,Георгій,Адамович,Чоловіча,1963-05-19,Архітектор,село Снігурівка,"проспект Кругова, буд. 4 кв. 759, Сімферополь, 70384",016 173-43-85,mzinchenko@example.com
Жук,Аліна,Антонівна,Жіноча,1990-12-21,Менеджер,хутір Бобровиця,"сквер Бугаївська, буд. 15, Яремче, 13888",790 26 24,hryhorii87@example.org
Шинкаренко,Богданна,Германівна,Жіноча,1948-12-22,Бухгалтер,село Буринь,"вулиця Толвінського, буд. 38 кв. 637, Заводське, 60716",+380 69 120-73-64,odarka97@example.net
Алексюк,Мілена,Тарасівна,Жіноча,1986-06-25,Складальник,селище Арциз,"провулок Люстдорфська дорога, буд. 919 кв. 519, Овруч, 31576",+380 51 586-09-66,shelestbohdanna@example.net
Носенко,Ростислав,Давидович,Чоловіча,1993-05-06,Мовознавець,селище Сіверськодонецьк,"набережна Східний 2-й, буд. 872 кв. 230, Радехів, 86988",+380 14 427-45-81,bohuslav00@example.org
Ковалюк,Єлисавета,Бориславівна,Жіноча,1962-04-20,М'ясник,село Трускавець,"узвіз Абрикосова, буд. 95 кв. 8, Корсунь-Шевченківський, 68842",+380 38 951 87 74,dzhuspriska@example.com
Шиян,Леонтій,Владиславович,Чоловіча,1968-03-21,Бізнесмен,селище Нововолинськ,"набережна Злакова, буд. 8, Лозова, 97527",+380 75 763-34-16,abrahamovskyizlatoslava@example.org
Акуленко,Святослав,Альбертович,Чоловіча,2003-04-28,Ґрунтознавець,село Трускавець,"парк Куликовський 2-й, буд. 15, Моспине, 30081",264-13-51,adavymuka@example.net
Корбут,Дарина,Бориславівна,Жіноча,1949-10-27,Менеджер,хутір Чернівці,"вулиця Скляний 2-й, буд. 27, Кадіївка, 66212",009 021 11 64,olifirenkostanislav@example.com
Ребрик,Ірена,Ярославівна,Жіноча,1974-05-27,Парфюмер,селище Сіверськ,"шосе Краснова, буд. 138 кв. 800, Дунаївці, 40089",941 93 06,mishchenko@example.net
Радченко,Богдан,Максимович,Чоловіча,2006-07-22,Слідчий,село Луцьк,"шосе Андрія Музичка, буд. 2 кв. 11, Іловайськ, 96566",+380 91 932 72 37,havryshkevychkhoma@example.org
Яценко,Гліб,Макарович,Чоловіча,1957-07-31,Візажист,село Ровеньки,"площа Північна, буд. 8 кв. 7, Могилів-Подільський, 61878",+380 09 088-53-08,liudmyla66@example.net
Шовкопляс,Оксана,Климентівна,Жіноча,1986-09-05,Геофізик,село Хорол,"провулок Чорноморський 3-й, буд. 070, Болград, 63098",+380 28 394-24-69,qhuk@example.org
Дергач,Геннадій,Євгенійович,Чоловіча,1951-10-06,Слідчий,хутір Нова Каховка,"вулиця Лінія 47-ма, буд. 955 кв. 4, Ічня, 24457",+380 34 779-01-35,jokhrimenko@example.com
Височан,Нестор,Вʼячеславович,Чоловіча,1942-05-10,Головний меркшейдер,село Баштанка,"набережна Лютневий 1-й, буд. 3, Черкаси, 94619",626 08 69,liudmyla64@example.org
Ткач,Едита,Августинівна,Жіноча,2007-09-20,Головний меркшейдер,село Калинівка,"парк Пироговська, буд. 6 кв. 287, Красногорівка, 48637",+380 33 650-23-32,bohdannaiatsenko@example.org
Ісаєнко,Миколай,Омелянович,Чоловіча,1998-10-20,Живописець,місто Біла Церква,"вулиця Сергія Ейзенштейна, буд. 7 кв. 31, П'ятихатки, 07402",061 483-96-13,oksana16@example.com
Михалюк,Вадим,Вадимович,Чоловіча,1986-12-31,Гінеколог,хутір Арциз,"сквер Проценка, буд. 0 кв. 4, Ковель, 32048",+380 83 130-28-53,dtarasenko@example.org
Франко,Станіслав,Бориславович,Чоловіча,1980-01-30,Ботанік,селище Золочів,"узвіз Докова, буд. 315, Конотоп, 41977",+380 (28) 478-02-05,demianchukvarfolomii@example.com
Затовканюк,Климент,Михайлович,Чоловіча,1956-07-23,Ґрунтознавець,місто Сніжне,"шосе Лазурний 4-й, буд. 764, Мена, 21600",662 54 19,bohodarbabiak@example.net
Тягнибок,Світлана,Гордіївна,Жіноча,1942-05-13,Географ,місто Моспине,"парк Окружна, буд. 11 кв. 02, Каховка, 08247",292-60-67,okseniia76@example.com
Саєнко,Стефан,Іванович,Чоловіча,1982-06-04,Скульптор,село Хоростків,"проспект Трояндова, буд. 5 кв. 9, Гірське, 70590",+380 44 195 73 68,avramchukdemyd@example.net
Чубай,Костянтин,Богданович,Чоловіча,1969-11-14,Фізик,місто Брянка,"площа Кипарисний 2-й, буд. 1 кв. 7, Заводське, 60988",+380 35 054-71-34,poltavetsruslan@example.org
Вакарчук,Пармен,Августинович,Чоловіча,2006-10-09,Бібліотекар,село Ворожба,"парк Бугаївська, буд. 04 кв. 1, Щолкіне, 31782",+380 (36) 961-08-84,aderkach@example.net
Ісаєнко,Аврелій,Микитович,Чоловіча,1999-12-03,Медик,село Самбір,"проспект Степана Олійника узвіз, буд. 821, Кіцмань, 57743",+380 16 353-93-22,orynakopytko@example.com
Запорожець,Азар,Георгійович,Чоловіча,1968-01-14,Детектив,село Бахмут,"набережна Матроський, буд. 234 кв. 1, Харків, 64585",+380 46 152-61-99,illia86@example.net
Дробаха,Азар,Макарович,Чоловіча,1978-05-06,Мовознавець,село Рожище,"шосе Наявний 1-й, буд. 056 кв. 51, Калуш, 28814",140 01 43,panchukliubov@example.net
Ґерета,Лілія,Степанівна,Жіноча,1945-12-15,Шериф,місто Кам'янка-Дніпровська,"набережна Висока, буд. 014, Гайсин, 97463",005 467-81-46,solomondanko@example.org
Величко,Амвросій,Ростиславович,Чоловіча,1981-07-11,Намотувальник,місто Рава-Руська,"парк Данила Крижанівського, буд. 8, Антрацит, 78087",808-82-36,orysiatkachenko@example.com
Заруба,Анжела,Варфоломіївна,Жіноча,1996-08-29,Паблік рилейшнз,місто Кривий Ріг,"вулиця Авангардна, буд. 9, Фастів, 25478",+380 49 496-04-05,pderiazhnyi@example.org
Абрагамовська,Василина,Святославівна,Жіноча,1986-10-12,Педагог,село Заводське,"сквер Олександра Ройтбурда, буд. 585, Южне, 42392",402-47-02,stiahnybok@example.com
Фурс,Едита,Феофанівна,Жіноча,1971-11-29,Кінолог,село Докучаєвськ,"площа Архітектурна, буд. 8 кв. 35, Заводське, 96764",+380 (43) 941-97-08,dan86@example.com
Скирда,Азар,Вʼячеславович,Чоловіча,1994-04-06,Мікробіолог,село Надвірна,"узвіз Соляна, буд. 9, Новояворівськ, 82390",+380 (29) 436-75-23,priska61@example.org
Деревʼянко,Оксенія,Ярославівна,Жіноча,1981-03-20,Електрослюсар,місто Пирятин,"набережна Олешківська, буд. 035 кв. 4, Сторожинець, 98659",060 386 53 85,geretaalbert@example.com
Асаула,Христина,Андріївна,Жіноча,1992-12-21,Єгер,селище Херсон,"проспект Хвойний, буд. 5 кв. 7, Лубни, 19574",+380 28 069 34 28,serhii17@example.com
Яценко,Гордій,Дмитрович,Чоловіча,1960-11-18,Астроном,місто Хуст,"набережна Степний 2-й, буд. 08 кв. 64, Бережани, 94774",+380 (76) 433-54-49,odarkadavydenko@example.com
Гавришкевич,Климент,Богданович,Чоловіча,1958-04-29,Кінокритик,хутір Гайсин,"площа Скляний 3-й, буд. 9 кв. 1, Судова Вишня, 55483",447 47 56,mazurruslan@example.org
